scheme,held_out_run,eval,name,kind,source_run,label,n_params,elpd_loo,elpd_se,elpd_rank,elpd_diff,elpd_dse,stacking_weight,loo_unreliable,n_eval,rmse,brier,accuracy,r2_trial,r2_stimulus,logpd,pseudo_r2_deviance
heldout,2,heldout_train,seed_bayesian_diagnosticity,seed,,Bayesian diagnosticity,5,-4830.5816535896265,30.068643991027148,2,68.13210727334275,14.548173640415413,0.1184582375528562,False,7680,0.46763886636260305,0.21868610933290053,0.6595052083333334,0.12482674819192219,0.5788426439381535,-4823.556222008259,0.09357014367496241
heldout,2,heldout_oos,seed_bayesian_diagnosticity,seed,,Bayesian diagnosticity,5,,,,,,,,3840,0.4731260996495224,0.22384830616956983,0.6471354166666666,0.10370206486799194,0.5206668647428456,-2454.7802148781348,0.07706245174964843
heldout,2,heldout_train,seed_window_typicality,seed,,Window typicality,4,-5094.338364444494,20.974454402974008,5,331.88881812820915,27.2873115236615,0.05649350519326896,False,7680,0.48511109894732957,0.23533277832188576,0.5920572916666667,0.0582074303243878,0.275308646736511,-5092.2217782310545,0.043083226902771554
heldout,2,heldout_oos,seed_window_typicality,seed,,Window typicality,4,,,,,,,,3840,0.48778370171831165,0.2379329396620188,0.5979166666666667,0.0473066061200923,0.3327604850290795,-2570.44220790901,0.03357636056043589
heldout,2,heldout_train,run2_evidence_accum_per_item,winner,2,"Evidence accumulation, per item (run 2)",7,-4762.449546316284,32.1459053835331,0,0.0,0.0,0.6775327231495711,False,7680,0.4630276019121055,0.21439456013247524,0.6623697916666667,0.14200136015281783,0.6636705615785453,-4755.945469395826,0.10627537648574537
heldout,2,heldout_oos,run2_evidence_accum_per_item,winner,2,"Evidence accumulation, per item (run 2)",7,,,,,,,,3840,0.4681764933276962,0.21918922890461837,0.6565104166666667,0.12235720416144324,0.6220825663546437,-2420.2894503054513,0.09003013883587208
heldout,2,heldout_train,run2_evidence_accum_per_run,winner,2,"Evidence accumulation, per run (run 2, tied)",7,-4781.134248271228,31.54726920178359,1,18.684701954943996,8.106123446105743,0.14751553404056755,False,7680,0.46428729898931337,0.21556269600279207,0.66015625,0.13732652611192964,0.6426110197856043,-4774.680278878024,0.10275478091566703
heldout,2,heldout_oos,run2_evidence_accum_per_run,winner,2,"Evidence accumulation, per run (run 2, tied)",7,,,,,,,,3840,0.46833592833201804,0.21933854176661313,0.6533854166666667,0.12175934924717291,0.6170351125465477,-2418.419366000861,0.09073324496840451
heldout,3,heldout_train,seed_prototype_similarity,seed,,Prototype similarity,4,-4788.128670302669,31.145335237691526,1,21.573627391785188,18.036903614529507,0.39581883518107247,False,7680,0.4651275618159081,0.2163436487608114,0.6583333333333333,0.1346244659642042,0.6154381017419682,-4783.82333346162,0.1013536977026065
heldout,3,heldout_oos,seed_prototype_similarity,seed,,Prototype similarity,4,,,,,,,,3840,0.4880555361375363,0.23819820635449804,0.6049479166666667,0.0471037787246642,0.2534918704096507,-2600.54135786452,0.022895363038533567
heldout,3,heldout_train,seed_encoding_compressibility,seed,,Encoding compressibility,4,-4996.19209696554,24.945035765420354,3,229.637054054657,27.32181826538319,0.02589191681705384,False,7680,0.47859971245325644,0.22905768476033975,0.6231770833333333,0.08376826678358307,0.4167566358835557,-4994.094371527626,0.06185405951226419
heldout,3,heldout_oos,seed_encoding_compressibility,seed,,Encoding compressibility,4,,,,,,,,3840,0.5011515495999842,0.2511528756664654,0.5674479166666667,-0.004720521819705281,-0.021848731875767857,-2692.6162555802593,-0.011700052732773303
heldout,3,heldout_train,seed_bayesian_diagnosticity,seed,,Bayesian diagnosticity,5,-4794.931514202786,31.02435013979695,2,28.37647129190255,7.545301839559042,0.0,False,7680,0.4652018641660321,0.21641277442355136,0.6622395833333333,0.1343479630132196,0.6072974751393865,-4785.665329549927,0.10100767677787348
heldout,3,heldout_oos,seed_bayesian_diagnosticity,seed,,Bayesian diagnosticity,5,,,,,,,,3840,0.4778906631173205,0.2283794858947123,0.6424479166666667,0.08638292262369207,0.455225056797553,-2493.2165195855564,0.06322065793391196
heldout,3,heldout_train,seed_window_typicality,seed,,Window typicality,4,-5032.938447349102,23.60342988943811,4,266.383404438218,28.172500701309136,0.014982107088099805,False,7680,0.4810034732073628,0.2313643412375462,0.6157552083333333,0.07454163086321652,0.37439896444613185,-5030.847837171568,0.0549498818921339
heldout,3,heldout_oos,seed_window_typicality,seed,,Window typicality,4,,,,,,,,3840,0.49553293302056955,0.2455528877079683,0.5520833333333334,0.01768186082837253,0.10147729416071438,-2628.1905382013315,0.012506702141608872
heldout,3,heldout_train,run3_bayes_artificial_balance,winner,3,Bayesian diagnosticity + artificial balance (run 3),6,-4766.5550429108835,31.91639134686697,0,0.0,0.0,0.5633071409137905,False,7680,0.4634125141900014,0.21475115830789823,0.65703125,0.14099443468771533,0.6362643381481132,-4759.781940532948,0.10586989893986998
heldout,3,heldout_oos,run3_bayes_artificial_balance,winner,3,Bayesian diagnosticity + artificial balance (run 3),6,,,,,,,,3840,0.47870363586776665,0.22915717099301933,0.6388020833333333,0.08327184465689974,0.44233091679824343,-2503.577996289493,0.05932752741223535
